id,claim_date,insured_person_id,card_number,exam_date,documents,claim_amount,status,receiver_bank_info
f-0010000001,2022-08-14,c-1000001,1000000001,2022-03-17,f-0010000001_Card1000000001_Doc1.pdf;f-0010000001_Card1000000001_Doc2.pdf;f-0010000001_Card1000000001_Doc3.pdf,3874.0062004817155,Processing,Bank001 - Name001 - 0000000001
f-0010000002,2023-08-12,c-1000002,1000000002,2023-01-19,f-0010000002_Card1000000002_Doc1.pdf;f-0010000002_Card1000000002_Doc2.pdf;f-0010000002_Card1000000002_Doc3.pdf,8232.621459904396,New,Bank002 - Name002 - 0000000002
f-0010000003,2023-02-10,c-1000003,1000000003,2022-04-28,f-0010000003_Card1000000003_Doc1.pdf;f-0010000003_Card1000000003_Doc2.pdf;f-0010000003_Card1000000003_Doc3.pdf,6955.0946611506415,New,Bank003 - Name003 - 0000000003
f-0010000004,2022-03-03,c-1000004,1000000004,2022-09-28,f-0010000004_Card1000000004_Doc1.pdf;f-0010000004_Card1000000004_Doc2.pdf;f-0010000004_Card1000000004_Doc3.pdf,7554.866075728829,New,Bank004 - Name004 - 0000000004
f-0010000005,2023-01-14,c-1000005,1000000005,2022-06-08,f-0010000005_Card1000000005_Doc1.pdf;f-0010000005_Card1000000005_Doc2.pdf;f-0010000005_Card1000000005_Doc3.pdf,3566.26743041641,Processing,Bank005 - Name005 - 0000000005
f-0010000006,2022-11-04,c-1000006,1000000006,2022-06-22,f-0010000006_Card1000000006_Doc1.pdf;f-0010000006_Card1000000006_Doc2.pdf;f-0010000006_Card1000000006_Doc3.pdf,5959.540015406951,New,Bank006 - Name006 - 0000000006
f-0010000007,2023-01-11,c-1000007,1000000007,2022-10-28,f-0010000007_Card1000000007_Doc1.pdf;f-0010000007_Card1000000007_Doc2.pdf;f-0010000007_Card1000000007_Doc3.pdf,9005.987194398938,Done,Bank007 - Name007 - 0000000007
f-0010000008,2023-09-01,c-1000008,1000000008,2023-12-08,f-0010000008_Card1000000008_Doc1.pdf;f-0010000008_Card1000000008_Doc2.pdf;f-0010000008_Card1000000008_Doc3.pdf,577.1465284014048,New,Bank008 - Name008 - 0000000008
f-0010000009,2022-11-25,c-1000009,1000000009,2022-07-25,f-0010000009_Card1000000009_Doc1.pdf;f-0010000009_Card1000000009_Doc2.pdf;f-0010000009_Card1000000009_Doc3.pdf,2120.4651421278145,Processing,Bank009 - Name009 - 0000000009
f-0010000010,2023-08-27,c-1000010,1000000010,2023-10-07,f-0010000010_Card1000000010_Doc1.pdf;f-0010000010_Card1000000010_Doc2.pdf;f-0010000010_Card1000000010_Doc3.pdf,4318.649985120222,New,Bank010 - Name010 - 0000000010
f-0010000011,2023-03-15,c-1000011,1000000011,2022-08-25,f-0010000011_Card1000000011_Doc1.pdf;f-0010000011_Card1000000011_Doc2.pdf;f-0010000011_Card1000000011_Doc3.pdf,2577.313839934216,Done,Bank011 - Name011 - 0000000011
f-0010000012,2023-09-24,c-1000012,1000000012,2022-06-24,f-0010000012_Card1000000012_Doc1.pdf;f-0010000012_Card1000000012_Doc2.pdf;f-0010000012_Card1000000012_Doc3.pdf,1180.5942578103625,Done,Bank012 - Name012 - 0000000012
f-0010000013,2023-02-02,c-1000013,1000000013,2023-01-16,f-0010000013_Card1000000013_Doc1.pdf;f-0010000013_Card1000000013_Doc2.pdf;f-0010000013_Card1000000013_Doc3.pdf,1136.7549069050795,Processing,Bank013 - Name013 - 0000000013
f-0010000014,2023-08-28,c-1000014,1000000014,2023-02-21,f-0010000014_Card1000000014_Doc1.pdf;f-0010000014_Card1000000014_Doc2.pdf;f-0010000014_Card1000000014_Doc3.pdf,9674.702789003912,New,Bank014 - Name014 - 0000000014
f-0010000015,2023-08-08,c-1000015,1000000015,2022-04-23,f-0010000015_Card1000000015_Doc1.pdf;f-0010000015_Card1000000015_Doc2.pdf;f-0010000015_Card1000000015_Doc3.pdf,1585.3574156923696,New,Bank015 - Name015 - 0000000015
