card_number,expiration_date,card_holder_id,policy_owner_id
9810112343,2022-08-07,c-2826406,c-9924095
1780168973,2026-04-25,c-3052472,c-8013516
1515997745,2023-08-07,c-7217384,c-9159069
2856853267,2027-07-04,c-4700498,c-1682919
7740927891,2024-08-07,c-2171659,c-6255795
2788653287,2022-08-29,c-3518359,c-9959903
9444407570,2027-10-29,c-2468804,c-6840710
3530632744,2027-03-03,c-4386053,c-9956291
3283436799,2024-06-19,c-7306707,c-1290949
5852349851,2029-07-08,c-2115044,c-6198841
6438506598,2026-09-05,c-2153942,c-4631949
1237677117,2026-11-10,c-5787718,c-4483180
8596434639,2022-10-21,c-5018682,c-1764988
4405506440,2029-08-20,c-8782021,c-6288558
9731914850,2022-08-16,c-1537614,c-8149368
